disgust, 20, 0
anger, 20, 1
surprise, 20, 4
fear, 20, 0
happy, 20, 1
sad, 21, 1
emotionless, 21, 9
disgust, 21, 0
anger, 21, 1
surprise, 21, 1
fear, 21, 2
happy, 21, 1
sad, 22, 0
emotionless, 22, 0
disgust, 22, 0
anger, 22, 0
surprise, 22, 0
fear, 22, 7
happy, 22, 0
sad, 23, 0
emotionless, 23, 0
disgust, 23, 0
anger, 23, 0
surprise, 23, 0
fear, 23, 9
happy, 23, 0
sad, 24, 0
emotionless, 24, 3
disgust, 24, 0
anger, 24, 0
surprise, 24, 1
fear, 24, 8
happy, 24, 0
sad, 25, 0
emotionless, 25, 10
disgust, 25, 0
anger, 25, 0
surprise, 25, 6
fear, 25, 0
happy, 25, 0
sad, 26, 0
emotionless, 26, 5
disgust, 26, 0
anger, 26, 0
surprise, 26, 2
fear, 26, 0
happy, 26, 2
sad, 27, 0
emotionless, 27, 6
disgust, 27, 1
anger, 27, 1
surprise, 27, 0
fear, 27, 4
happy, 27, 7
sad, 28, 2
emotionless, 28, 14
disgust, 28, 0
anger, 28, 1
surprise, 28, 0
fear, 28, 1
happy, 28, 0
sad, 29, 1
emotionless, 29, 7
disgust, 29, 0
anger, 29, 2
surprise, 29, 0
fear, 29, 0
happy, 29, 4
sad, 30, 1
emotionless, 30, 3
disgust, 30, 0
anger, 30, 2
surprise, 30, 0
fear, 30, 0
happy, 30, 0
sad, 31, 0
emotionless, 31, 2
disgust, 31, 0
anger, 31, 0
surprise, 31, 0
fear, 31, 0
happy, 31, 0
sad, 32, 0
emotionless, 32, 1
disgust, 32, 0
anger, 32, 1
surprise, 32, 1
fear, 32, 0
happy, 32, 0
sad, 33, 0
emotionless, 33, 1
disgust, 33, 0
anger, 33, 0
surprise, 33, 1
fear, 33, 0
happy, 33, 0
sad, 34, 0
emotionless, 34, 13
disgust, 34, 1
anger, 34, 0
surprise, 34, 2
fear, 34, 6
happy, 34, 0
sad, 35, 1
emotionless, 35, 7
disgust, 35, 1
anger, 35, 5
surprise, 35, 0
fear, 35, 2
happy, 35, 2
sad, 36, 7
emotionless, 36, 7
disgust, 36, 0
anger, 36, 0
surprise, 36, 0
fear, 36, 2
happy, 36, 0
sad, 37, 0
emotionless, 37, 8
disgust, 37, 0
anger, 37, 0
surprise, 37, 0
fear, 37, 0
happy, 37, 0
sad, 38, 0
emotionless, 38, 6
disgust, 38, 0
anger, 38, 0
surprise, 38, 0
fear, 38, 0
happy, 38, 0
sad, 39, 0
emotionless, 39, 3
disgust, 39, 0
anger, 39, 0
surprise, 39, 1
fear, 39, 0
happy, 39, 8
sad, 40, 0
emotionless, 40, 1
disgust, 40, 0
anger, 40, 0
surprise, 40, 0
fear, 40, 0
happy, 40, 0
sad, 41, 0
emotionless, 41, 1
disgust, 41, 0
anger, 41, 0
surprise, 41, 0
fear, 41, 1
happy, 41, 0
sad, 42, 0
emotionless, 42, 1
disgust, 42, 0
anger, 42, 0
surprise, 42, 0
fear, 42, 0
happy, 42, 0
